,Name,Position,Team,Salary,Year
0,Stephen Curry, PG,Golden State Warriors,"$37,457,154",2019
1,Russell Westbrook, PG,Oklahoma City Thunder,"$35,654,150",2019
2,Chris Paul, PG,Houston Rockets,"$35,654,150",2019
3,James Harden, PG,Houston Rockets,"$35,650,150",2019
4,Blake Griffin, PF,Detroit Pistons,"$32,088,932",2019
5,Gordon Hayward, SF,Boston Celtics,"$31,214,295",2019
6,Kyle Lowry, PG,Toronto Raptors,"$31,200,000",2019
7,Paul George, SF,Oklahoma City Thunder,"$30,560,700",2019
8,Mike Conley, PG,Memphis Grizzlies,"$30,521,115",2019
9,Kevin Durant, SF,Golden State Warriors,"$30,000,000",2019
10,Paul Millsap, PF,Denver Nuggets,"$29,230,769",2019
11,Al Horford, C,Boston Celtics,"$28,928,709",2019
12,Damian Lillard, PG,Portland Trail Blazers,"$27,977,689",2019
13,DeMar DeRozan, SG,San Antonio Spurs,"$27,739,975",2019
14,Otto Porter Jr., SF,Washington Wizards,"$26,011,913",2019
15,Jrue Holiday, PG,New Orleans Pelicans,"$25,976,111",2019
16,CJ McCollum, SG,Portland Trail Blazers,"$25,759,766",2019
17,Joel Embiid, C,Philadelphia 76ers,"$25,467,250",2019
18,Andrew Wiggins, SF,Minnesota Timberwolves,"$25,467,250",2019
19,Bradley Beal, SG,Washington Wizards,"$25,434,263",2019
20,Anthony Davis, PF,New Orleans Pelicans,"$25,434,263",2019
21,Hassan Whiteside, C,Miami Heat,"$25,434,262",2019
22,Nikola Jokic, C,Denver Nuggets,"$24,605,181",2019
23,Steven Adams, C,Oklahoma City Thunder,"$24,157,303",2019
24,Giannis Antetokounmpo, PF,Milwaukee Bucks,"$24,157,303",2019
25,Marc Gasol, C,Memphis Grizzlies,"$24,119,025",2019
26,Kevin Love, PF,Cleveland Cavaliers,"$24,119,025",2019
27,Chandler Parsons, SF,Memphis Grizzlies,"$24,107,258",2019
28,Harrison Barnes, SF,Sacramento Kings,"$24,107,258",2019
29,Nicolas Batum, SF,Charlotte Hornets,"$24,000,000",2019
30,Rudy Gobert, C,Utah Jazz,"$23,241,573",2019
31,Kawhi Leonard, SF,Toronto Raptors,"$23,114,067",2019
32,DeAndre Jordan, C,New York Knicks,"$22,897,200",2019
33,LaMarcus Aldridge, C,San Antonio Spurs,"$22,347,015",2019
34,Serge Ibaka, C,Toronto Raptors,"$21,666,667",2019
35,Aaron Gordon, PF,Orlando Magic,"$21,590,909",2019
36,Danilo Gallinari, SF,LA Clippers,"$21,587,579",2019
37,Victor Oladipo, SG,Indiana Pacers,"$21,000,000",2019
38,Jimmy Butler, SG,Philadelphia 76ers,"$20,445,779",2019
39,Ryan Anderson, PF,Phoenix Suns,"$20,421,546",2019
40,Kyrie Irving, PG,Boston Celtics,"$20,099,189",2019
41,Jabari Parker, PF,Washington Wizards,"$20,000,000",2019
42,Zach LaVine, PG,Chicago Bulls,"$19,500,000",2019
43,Tyler Johnson, SG,Phoenix Suns,"$19,356,932",2019
44,Tim Hardaway Jr., G,New York Knicks,"$19,200,127",2019
45,John Wall, PG,Washington Wizards,"$19,169,800",2019
46,Jeff Teague, PG,Minnesota Timberwolves,"$19,000,000",2019
47,George Hill, PG,Milwaukee Bucks,"$19,000,000",2019
48,Klay Thompson, SG,Golden State Warriors,"$18,988,725",2019
49,Enes Kanter, C,Portland Trail Blazers,"$18,622,514",2019
50,Allen Crabbe, SG,Brooklyn Nets,"$18,500,000",2019
51,Goran Dragic, PG,Miami Heat,"$18,109,175",2019
52,Kent Bazemore, SG,Atlanta Hawks,"$18,089,887",2019
53,Evan Turner, SG,Portland Trail Blazers,"$17,868,853",2019
54,Draymond Green, PF,Golden State Warriors,"$17,469,565",2019
55,Tristan Thompson, C,Cleveland Cavaliers,"$17,469,565",2019
56,Reggie Jackson, PG,Detroit Pistons,"$17,043,478",2019
57,Bismack Biyombo, C,Charlotte Hornets,"$17,000,000",2019
58,Evan Fournier, SG,Orlando Magic,"$17,000,000",2019
59,Derrick Favors, PF,Utah Jazz,"$16,900,000",2019
60,Pau Gasol, C,San Antonio Spurs,"$16,800,000",2019
61,Jonas Valanciunas, C,Memphis Grizzlies,"$16,539,326",2019
62,Gary Harris, SG,Denver Nuggets,"$16,517,857",2019
63,Timofey Mozgov, C,Orlando Magic,"$16,000,000",2019
64,Andre Iguodala, SG,Golden State Warriors,"$16,000,000",2019
65,Ian Mahinmi, C,Washington Wizards,"$15,944,154",2019
66,Dennis Schroder, PG,Oklahoma City Thunder,"$15,500,000",2019
67,DeMarre Carroll, SF,Brooklyn Nets,"$15,400,000",2019
68,Clint Capela, C,Houston Rockets,"$15,293,104",2019
69,Gorgui Dieng, C,Minnesota Timberwolves,"$15,170,787",2019
70,Trevor Ariza, SF,Washington Wizards,"$15,000,000",2019
71,Eric Bledsoe, PG,Milwaukee Bucks,"$15,000,000",2019
72,Ricky Rubio, PG,Utah Jazz,"$14,975,000",2019
73,Tobias Harris, SF,Philadelphia 76ers,"$14,800,000",2019
74,JR Smith, SG,Cleveland Cavaliers,"$14,720,000",2019
75,Luke Babbitt, F,Miami Heat,"$14,651,700",2019
76,James Johnson, PF,Miami Heat,"$14,651,700",2019
77,Brandon Knight, PG,Houston Rockets,"$14,631,250",2019
78,Robin Lopez, C,Chicago Bulls,"$14,357,750",2019
79,Marvin Williams, PF,Charlotte Hornets,"$14,087,500",2019
80,Taj Gibson, PF,Minnesota Timberwolves,"$14,000,000",2019
81,Thaddeus Young, PF,Indiana Pacers,"$13,964,045",2019
82,Marcin Gortat, C,LA Clippers,"$13,565,218",2019
83,Cody Zeller, C,Charlotte Hornets,"$13,528,090",2019
84,Eric Gordon, SG,Houston Rockets,"$13,500,375",2019
85,Joe Ingles, SF,Utah Jazz,"$13,045,455",2019
86,Michael Kidd-Gilchrist, SF,Charlotte Hornets,"$13,000,000",2019
87,Khris Middleton, SF,Milwaukee Bucks,"$13,000,000",2019
88,Mason Plumlee, PF,Denver Nuggets,"$12,917,808",2019
89,Wilson Chandler, SF,Philadelphia 76ers,"$12,800,562",2019
90,Nikola Vucevic, C,Orlando Magic,"$12,750,000",2019
91,Kelly Olynyk, PF,Miami Heat,"$12,537,527",2019
